me.danceability	me.energy	me.key	me.loudness	me.mode	me.speechiness	me.acousticness	me.instrumentalness	me.liveness	me.valence	me.tempo	me.duration_ms	me.time_signature	global.danceability	global.energy	global.key	global.loudness	global.mode	global.speechiness	global.acousticness	global.instrumentalness	global.liveness	global.valence	global.tempo	global.duration_ms	global.time_signature
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	416000	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.889	0.393	4	-10.821	0	0.267	0.331	8.67e-06	0.283	0.304	128.065	301133	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.642	0.725	7	-6.94	1	0.0519	0.00733	0.000567	0.102	0.656	169.959	184600	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.59	0.702	1	-9.058	1	0.0817	0.0135	0	0.428	0.124	134.023	310720	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.712	0.759	11	-5.397	1	0.334	0.016	0.0808	0.217	0.738	79.103	249333	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.693	0.494	1	-8.801	1	0.143	0.291	0.055	0.101	0.418	94.254	284693	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.803	0.338	6	-14.029	1	0.0349	0.196	0.038	0.097	0.912	106.841	155707	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.501	0.899	0	-5.384	1	0.0563	0.0987	2.31e-06	0.613	0.723	134.805	283360	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.723	0.927	1	-3.203	0	0.183	0.0986	0	0.305	0.545	101.978	295413	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.468	0.823	4	-3.973	1	0.466	0.81	0	0.598	0.941	74.457	179564	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.389	0.873	4	-4.768	0	0.0475	0.00532	0.0055	0.273	0.303	106.767	312293	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.686	0.834	5	-4.078	0	0.0365	0.00259	0	0.159	0.674	100.024	153810	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.959	0.524	9	-8.145	0	0.274	0.316	0	0.274	0.84	119.933	215792	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.492	0.862	4	-9.158	0	0.0273	0.0121	0.213	0.228	0.591	112.598	292800	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.763	0.786	10	-6.472	0	0.229	0.0146	0.0114	0.0817	0.504	93.857	325507	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.743	0.861	3	-5.234	1	0.0428	0.00518	0	0.181	0.391	111.959	216013	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.81	0.36	7	-13.929	1	0.0684	0.00204	0.849	0.0892	0.0376	120.004	224800	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.46	0.904	5	-7.853	0	0.14	0.0113	0.792	0.0842	0.558	162.041	173131	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.716	0.53	7	-7.38	1	0.132	0.0739	0	0.216	0.362	71.981	386907	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.65	0.613	1	-7.905	1	0.0353	0.00166	0.00232	0.144	0.281	120.043	271959	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.754	0.556	8	-7.114	1	0.355	0.191	0	0.0987	0.455	120.859	241224	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.636	0.561	0	-5.584	0	0.185	0.149	0	0.0935	0.371	85.173	163587	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.609	0.799	9	-6.883	1	0.24	0.33	0	0.108	0.582	157.74	215509	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.45	0.721	10	-6.809	1	0.322	0.0548	2.81e-06	0.455	0.232	181.656	350120	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.515	0.877	1	-7.628	0	0.228	0.00169	0.603	0.511	0.558	173.964	149027	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.498	0.337	11	-11.035	0	0.0332	0.779	2.1e-06	0.111	0.207	98.061	250347	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.796	0.766	7	-5.974	1	0.238	0.0742	0	0.0827	0.558	110.034	219333	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.504	0.705	6	-8.205	0	0.364	0.0752	0	0.128	0.584	175.483	239320	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.845	0.52	10	-10.411	0	0.155	0.137	0.0234	0.167	0.422	94.968	212045	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.4	0.902	9	-4.385	1	0.0523	0.115	0.000116	0.139	0.632	105.659	255267	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.696	0.521	10	-8.465	0	0.332	0.302	0	0.0565	0.458	100	292987	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.607	0.789	9	-8.87	0	0.0278	0.46	0.907	0.128	0.16	100.351	127920	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.328	0.911	1	-4.404	0	0.418	0.0749	0	0.381	0.222	171.16	248093	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.658	0.709	8	-6.736	1	0.0904	0.00188	0.00447	0.0657	0.855	129.699	121880	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.483	0.662	2	-9.18	1	0.541	0.136	0	0.796	0.664	85.798	285640	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.924	0.543	7	-6.612	1	0.0854	0.432	7.32e-05	0.11	0.104	99.997	183159	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.494	0.78	2	-5.841	1	0.301	0.352	0	0.396	0.884	139.725	179009	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.51	0.503	10	-8.756	0	0.242	0.0216	0.002	0.108	0.193	153.582	243773	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.548	0.829	1	-4.103	0	0.285	0.339	0	0.537	0.452	93.62	194739	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.743	0.508	2	-8.145	1	0.0708	0.0521	0	0.153	0.0548	83.998	219937	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.644	0.272	11	-14.97	0	0.107	0.0105	0.146	0.0666	0.603	121.237	224373	3	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.799	0.479	11	-11.153	0	0.0959	0.0218	0.607	0.11	0.285	119.007	451753	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
0.75	0.884	1	-5.395	1	0.0634	0.0246	3.57e-06	0.238	0.867	121.915	231933	4	0.825	0.652	1	-3.183	0	0.0802	0.581	0	0.0931	0.931	95.977	233713	4
