"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"0.7","0.546","5","-7.705","0","0.109","0.0131","0.0305","0.172","0.302","80.004","audio_features","5ZVujHtwnsqFJvLnqRSdch","spotify:track:5ZVujHtwnsqFJvLnqRSdch","https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch","https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch","416000","4"
"0.889","0.393","4","-10.821","0","0.267","0.331","8.67E-06","0.283","0.304","128.065","audio_features","16qYlQ6koFxYVbiJbGHblz","spotify:track:16qYlQ6koFxYVbiJbGHblz","https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz","https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz","301133","4"
"0.642","0.725","7","-6.94","1","0.0519","0.00733","0.000567","0.102","0.656","169.959","audio_features","2qHMwwXW5XGSpggg8WAit6","spotify:track:2qHMwwXW5XGSpggg8WAit6","https://api.spotify.com/v1/tracks/2qHMwwXW5XGSpggg8WAit6","https://api.spotify.com/v1/audio-analysis/2qHMwwXW5XGSpggg8WAit6","184600","4"
"0.59","0.702","1","-9.058","1","0.0817","0.0135","0","0.428","0.124","134.023","audio_features","5h5tBFnbcVioFXiOixTn6E","spotify:track:5h5tBFnbcVioFXiOixTn6E","https://api.spotify.com/v1/tracks/5h5tBFnbcVioFXiOixTn6E","https://api.spotify.com/v1/audio-analysis/5h5tBFnbcVioFXiOixTn6E","310720","4"
"0.712","0.759","11","-5.397","1","0.334","0.016","0.0808","0.217","0.738","79.103","audio_features","4OKXvqtfwlvY2fYJ2lzHPH","spotify:track:4OKXvqtfwlvY2fYJ2lzHPH","https://api.spotify.com/v1/tracks/4OKXvqtfwlvY2fYJ2lzHPH","https://api.spotify.com/v1/audio-analysis/4OKXvqtfwlvY2fYJ2lzHPH","249333","4"
"0.693","0.494","1","-8.801","1","0.143","0.291","0.055","0.101","0.418","94.254","audio_features","366xKgsZ8bFjIhG7JjfCkj","spotify:track:366xKgsZ8bFjIhG7JjfCkj","https://api.spotify.com/v1/tracks/366xKgsZ8bFjIhG7JjfCkj","https://api.spotify.com/v1/audio-analysis/366xKgsZ8bFjIhG7JjfCkj","284693","4"
"0.803","0.338","6","-14.029","1","0.0349","0.196","0.038","0.097","0.912","106.841","audio_features","6PgVDY8GTkxF3GmhVGPzoB","spotify:track:6PgVDY8GTkxF3GmhVGPzoB","https://api.spotify.com/v1/tracks/6PgVDY8GTkxF3GmhVGPzoB","https://api.spotify.com/v1/audio-analysis/6PgVDY8GTkxF3GmhVGPzoB","155707","4"
"0.501","0.899","0","-5.384","1","0.0563","0.0987","2.31E-06","0.613","0.723","134.805","audio_features","5nvjZnTa1PUFV8hfrcMKYc","spotify:track:5nvjZnTa1PUFV8hfrcMKYc","https://api.spotify.com/v1/tracks/5nvjZnTa1PUFV8hfrcMKYc","https://api.spotify.com/v1/audio-analysis/5nvjZnTa1PUFV8hfrcMKYc","283360","4"
"0.723","0.927","1","-3.203","0","0.183","0.0986","0","0.305","0.545","101.978","audio_features","1aBXNJsLuOeo6ZIeNRkbRc","spotify:track:1aBXNJsLuOeo6ZIeNRkbRc","https://api.spotify.com/v1/tracks/1aBXNJsLuOeo6ZIeNRkbRc","https://api.spotify.com/v1/audio-analysis/1aBXNJsLuOeo6ZIeNRkbRc","295413","4"
"0.468","0.823","4","-3.973","1","0.466","0.81","0","0.598","0.941","74.457","audio_features","2LPUvD5DDOO4UYGkWgjI2C","spotify:track:2LPUvD5DDOO4UYGkWgjI2C","https://api.spotify.com/v1/tracks/2LPUvD5DDOO4UYGkWgjI2C","https://api.spotify.com/v1/audio-analysis/2LPUvD5DDOO4UYGkWgjI2C","179564","4"
