danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	name
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Bad Karma
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	G.O.M.D.
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	I Swear
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Bitch, Don’t Kill My Vibe
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Yonkers
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Melatonin
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Hold On, I'm Comin'
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	The Passenger
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Holla At Me
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Shut Up
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Hells Bells
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Speeding Bullets
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Blow My High (Members Only)
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	I Wanna Be Adored - Remastered
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Shook Ones, Pt. II
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Man Of The Year
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Ghetto Kraviz - Original Mix
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	No Care
0.7	0.546	5	-7.705	0	0.109	0.0131	0.0305	0.172	0.302	80.004	audio_features	5ZVujHtwnsqFJvLnqRSdch	spotify:track:5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch	https://api.spotify.com/v1/audio-analysis/5ZVujHtwnsqFJvLnqRSdch	416000	4	Money Trees
