danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	name	length
1	0.7	0.5	5	-7.7	0	0.11	0.01	0.03	0.17	0.3	80	416000	4	Bad Karma	6.56
2	0.9	0.4	4	-10.8	0	0.27	0.33	0	0.28	0.3	128	301133	4	G.O.M.D.	5.1
3	0.6	0.7	7	-6.9	1	0.05	0.01	0	0.1	0.7	170	184600	4	I Swear	3.4
4	0.6	0.7	1	-9.1	1	0.08	0.01	0	0.43	0.1	134	310720	4	Bitch, Don’t Kill My Vibe	5.1
5	0.7	0.8	11	-5.4	1	0.33	0.02	0.08	0.22	0.7	79	249333	4	Yonkers	4.9
6	0.7	0.5	1	-8.8	1	0.14	0.29	0.06	0.1	0.4	94	284693	4	Melatonin	4.44
7	0.8	0.3	6	-14	1	0.03	0.2	0.04	0.1	0.9	107	155707	4	Hold On, I'm Comin'	2.35
8	0.5	0.9	0	-5.4	1	0.06	0.1	0	0.61	0.7	135	283360	4	The Passenger	4.43
9	0.7	0.9	1	-3.2	0	0.18	0.1	0	0.3	0.5	102	295413	4	Holla At Me	4.55
10	0.5	0.8	4	-4	1	0.47	0.81	0	0.6	0.9	74	179564	4	Shut Up	2.59
11	0.4	0.9	4	-4.8	0	0.05	0.01	0.01	0.27	0.3	107	312293	4	Hells Bells	5.12
12	0.7	0.8	5	-4.1	0	0.04	0	0	0.16	0.7	100	153810	4	Speeding Bullets	2.33
13	1	0.5	9	-8.1	0	0.27	0.32	0	0.27	0.8	120	215792	4	Blow My High (Members Only)	3.35
14	0.5	0.9	4	-9.2	0	0.03	0.01	0.21	0.23	0.6	113	292800	4	I Wanna Be Adored - Remastered	4.52
15	0.8	0.8	10	-6.5	0	0.23	0.01	0.01	0.08	0.5	94	325507	4	Shook Ones, Pt. II	5.25
16	0.7	0.9	3	-5.2	1	0.04	0.01	0	0.18	0.4	112	216013	4	Man Of The Year	3.36
17	0.8	0.4	7	-13.9	1	0.07	0	0.85	0.09	0	120	224800	4	Ghetto Kraviz - Original Mix	3.44
18	0.5	0.9	5	-7.9	0	0.14	0.01	0.79	0.08	0.6	162	173131	4	No Care	2.53
19	0.7	0.5	7	-7.4	1	0.13	0.07	0	0.22	0.4	72	386907	4	Money Trees	6.26
20	0.6	0.6	1	-7.9	1	0.04	0	0	0.14	0.3	120	271959	4	Lift Me Up	4.31
