danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	name
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Despacito - Remix
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	I'm the One
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Shape of You
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	HUMBLE.
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Mask Off
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Something Just Like This
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Stay (with Alessia Cara)
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	It Ain't Me (with Selena Gomez)
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Swalla (feat. Nicki Minaj & Ty Dolla $ign)
0.694	0.815	2	-4.328	1	0.12	0.229	0	0.0924	0.813	88.931	audio_features	5CtI0qwDJkDQGwXD1H1cLb	spotify:track:5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb	https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb	228827	4	Malibu
