danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	name	length
0.7	0.8	2	-4.3	1	0.12	0.23	0	0.09	0.8	89	228827	4	Despacito - Remix	3.48
0.6	0.7	7	-4.3	1	0.04	0.05	0	0.13	0.8	81	288877	4	I'm the One	4.48
0.8	0.7	1	-3.2	0	0.08	0.58	0	0.09	0.9	96	233713	4	Shape of You	3.53
0.9	0.6	1	-6.8	0	0.09	0	0	0.1	0.4	150	177000	4	HUMBLE.	2.57
0.8	0.4	2	-8.8	1	0.43	0.01	0.02	0.16	0.3	150	204600	4	Mask Off	3.24
0.6	0.6	11	-6.8	0	0.03	0.05	0	0.16	0.4	103	247160	4	Something Just Like This	4.7
0.7	0.6	5	-5	0	0.07	0.23	0	0.12	0.5	102	210091	4	Stay (with Alessia Cara)	3.3
0.6	0.5	0	-6.6	1	0.07	0.12	0	0.09	0.5	100	220781	4	It Ain't Me (with Selena Gomez)	3.4
0.7	0.8	1	-3.9	1	0.11	0.08	0	0.19	0.8	98	216409	4	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	3.36
0.6	0.8	8	-6.4	1	0.05	0.06	0	0.08	0.4	140	231906	4	Malibu	3.51
0.9	0.8	2	-4	1	0.06	0.38	0	0.09	1	122	199440	4	There's Nothing Holdin' Me Back	3.19
0.9	0.6	1	-5	1	0.04	0.01	0	0.09	0.9	134	206693	4	That's What I Like	3.26
0.7	0.6	0	-4.6	0	0.06	0.26	0	0.14	0.5	123	212459	4	Symphony (feat. Zara Larsson)	3.32
0.7	0.8	2	-4.8	1	0.17	0.21	0	0.11	0.8	178	228200	4	Despacito (Featuring Daddy Yankee)	3.48
0.8	0.6	3	-4.4	0	0.04	0.1	0	0.08	0.8	100	211475	4	Attention	3.31
0.8	0.5	11	-11.4	1	0.04	0.26	0.08	0.11	0.4	112	298941	4	Passionfruit	4.58
0.5	0.6	5	-4.6	1	0.03	0.03	0	0.11	0.2	120	340707	4	Sign of the Times	5.4
0.7	0.8	11	-6.4	0	0.23	0	0	0.11	0.4	155	182707	4	XO TOUR Llif3	3.2
0.6	0.6	0	-7.2	0	0.11	0.2	0	0.1	0.7	90	193511	4	First Time	3.13
0.8	0.8	5	-4.5	1	0.15	0.23	0	0.35	0.7	94	229849	4	Felices los 4	3.49
0.7	0.8	6	-5	1	0.12	0.03	0.01	0.1	0.7	98	233833	4	Unforgettable	3.53
0.6	0.5	1	-6.8	1	0.36	0	0	0.09	0.4	140	185947	4	DNA.	3.5
0.7	0.4	8	-6.8	1	0.08	0.37	0	0.06	0.4	114	176347	4	Issues	2.56
0.6	0.5	1	-7.8	0	0.06	0.09	0	0.26	0.2	138	220883	4	Scared to Be Lonely	3.4
0.6	0.9	9	-3.4	1	0.1	0.07	0	0.33	0.8	100	170827	4	Galway Girl	2.5
0.7	0.8	1	-3.3	0	0.05	0.5	0	0.25	0.5	104	230813	4	Slide	3.5
0.6	0.8	6	-4.2	1	0.04	0.2	0	0.21	0.5	123	220293	4	Congratulations	3.4
0.7	0.7	10	-5.4	1	0.13	0.06	0	0.11	0.6	113	223504	4	No Promises (feat. Demi Lovato)	3.43
0.6	0.6	5	-7.7	0	0.04	0.57	0	0.19	0.4	100	250173	4	1-800-273-8255	4.1
0.6	0.8	0	-3.8	1	0.05	0.01	0.15	0.12	0.2	168	187761	4	Thunder	3.7
0.7	0.8	9	-3.3	0	0.08	0.07	0	0.11	0.6	91	208163	4	SUBEME LA RADIO	3.28
0.7	0.9	7	-4.7	0	0.03	0.15	0.13	0.1	0.7	121	193613	4	Pretty Girl - Cheat Codes X CADE Remix	3.13
0.7	0.8	1	-6.3	1	0.07	0.03	0	0.05	0.4	105	205741	4	Me Rehúso	3.25
0.7	0.5	8	-4.8	1	0.04	0.07	0	0.09	0.6	100	211364	4	The Cure	3.31
0.7	0.7	7	-6.7	1	0.29	0.38	0	0.23	0.7	75	253107	4	iSpy (feat. Lil Yachty)	4.13
0.6	0.8	1	-5.2	1	0.21	0	0	0.06	0.6	168	225526	4	Good Life (with G-Eazy & Kehlani)	3.45
0.7	0.6	6	-4.9	0	0.04	0.11	0	0.13	0.4	110	214802	4	Now Or Never	3.34
0.8	0.8	10	-4.4	0	0.11	0.05	0	0.11	0.7	125	203782	4	Believer	3.23
0.7	0.4	1	-11.5	0	0.42	0.33	0	0.09	0.3	80	219080	4	Location	3.39
0.7	0.8	9	-4.1	0	0.05	0.41	0	0.18	0.7	102	251088	4	Rockabye (feat. Sean Paul & Anne-Marie)	4.11
0.7	0.7	2	-6.4	1	0.03	0.02	0	0.09	0.2	100	221507	4	Paris	3.41
0.7	0.8	0	-4.1	1	0.04	0.06	0	0.18	0.7	105	222041	4	Call On Me - Ryan Riback Extended Remix	3.42
0.8	0.8	6	-4.5	0	0.08	0.45	0	0.22	0.7	92	272667	4	Rollin	4.32
0.7	0.5	0	-8.4	1	0.06	0.06	0	0.32	0.1	118	245200	4	I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)"	4.5
0.7	0.7	9	-6.3	0	0.11	0.14	0	0.05	0.5	100	234308	4	Cold	3.54
0.8	0.6	10	-7.4	1	0.1	0.29	0	0.15	0.8	126	213400	4	LOVE. FEAT. ZACARI.	3.33
0.8	0.8	0	-5.9	0	0.13	0.43	0	0.1	0.6	93	269187	4	I Feel It Coming	4.29
0.7	0.7	8	-5.5	1	0.04	0.24	0	0.14	0.7	180	219507	4	El Amante	3.39
0.9	0.7	11	-6.1	0	0.14	0.16	0	0.18	0.7	124	211935	4	You Don't Know Me - Radio Edit	3.31
0.7	0.4	0	-6.7	1	0.05	0.01	0	0.05	0.8	86	188174	4	Slow Hands	3.8
0.7	0.8	6	-2.4	0	0.05	0.04	0	0.19	0.4	115	174933	4	Solo Dance	2.54
0.8	0.8	6	-5.8	1	0.06	0.12	0	0.14	0.5	106	227292	4	Bon Appétit	3.47
0.7	0.9	8	-3.2	0	0.06	0.02	0	0.09	0.8	92	232787	4	Escápate Conmigo	3.52
0.4	0.6	10	-7.4	1	0.06	0.7	0	0.09	0.5	85	211467	4	Say You Won't Let Go	3.31
0.9	0.4	1	-8.2	1	0.24	0.01	0	0.26	0.3	136	236615	4	Portland	3.56
0.7	0.5	9	-8.9	0	0.06	0.02	0	0.17	0.4	111	227360	4	LOYALTY. FEAT. RIHANNA.	3.47
0.7	0.7	6	-5.5	1	0.14	0.25	0	0.13	0.4	144	271080	4	Ahora Dice	4.31
0.5	0.4	2	-9.5	1	0.04	0.97	0.25	0.64	0.1	174	208212	3	The Night We Met	3.28
0.8	0.6	9	-6.1	0	0.07	0.02	0.07	0.05	0.7	99	241875	4	Tuesday	4.1
0.5	1	0	-2.6	1	0.22	0.03	0	0.13	0.5	105	194942	4	Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version	3.14
0.4	0.3	7	-8.5	1	0.03	0.75	0	0.07	0.2	104	224867	4	Sweet Creature	3.44
0.7	0.5	8	-5.6	1	0.03	0.41	0	0.11	0.7	95	244960	4	Closer	4.4
0.5	0.8	2	-4.9	1	0.1	0.02	0	0.14	0.5	135	261154	4	Castle on the Hill	4.21
0.5	0.5	11	-7.7	0	0.29	0.06	0	0.12	0.2	172	268187	4	Tunnel Vision	4.28
0.7	0.6	7	-6	1	0.06	0.13	0	0.09	0.5	121	188491	4	Still Got Time	3.8
0.7	0.7	4	-4.7	0	0.48	0.22	0	0.22	0.5	190	208733	4	ELEMENT.	3.28
0.8	0.6	9	-7.1	1	0.09	0.04	0	0.09	0.4	103	204400	4	Most Girls	3.24
0.9	0.8	8	-3.4	0	0.06	0.17	0	0.16	0.9	102	195613	4	Chantaje	3.15
0.8	0.7	7	-3.4	1	0.05	0.08	0	0.15	0.4	130	243837	4	goosebumps	4.3
0.7	0.6	7	-7	1	0.28	0.16	0	0.13	0.5	186	230453	4	Starboy	3.5
0.4	0.4	8	-10	1	0.07	0.03	0	0.38	0.1	96	251423	4	Selfish	4.11
0.9	0.9	9	-4.3	1	0.24	0.15	0	0.2	0.9	93	201280	4	Sigo Extrañándote	3.21
0.6	0.4	8	-6.3	1	0.02	0.16	0	0.11	0.2	95	263400	3	Perfect	4.23
0.9	0.7	11	-5.3	1	0.24	0.06	0	0.12	0.2	127	343150	4	Bad and Boujee (feat. Lil Uzi Vert)	5.43
0.8	0.6	1	-5.9	1	0.05	0.01	0	0.35	0.4	104	173987	4	One Dance	2.53
0.7	0.5	5	-7.2	1	0.03	0.46	0	0.1	0.6	99	165387	4	Body Like A Back Road	2.45
0.6	0.7	0	-5.7	0	0.04	0.05	0	0.08	0.4	96	220291	4	September Song	3.4
0.8	0.8	5	-5.4	1	0.09	0.03	0	0.39	0.4	90	205520	4	Hey DJ	3.25
0.4	0.8	0	-5.4	1	0.16	0.09	0	0.21	0.5	190	237915	4	Chained To The Rhythm	3.57
0.9	0.5	9	-9.4	0	0.42	0.11	0	0.2	0.6	134	210937	4	Fake Love	3.3
0.8	0.3	2	-11.4	1	0.03	0.24	0	0.29	0.2	100	177573	4	The One	2.57
0.8	0.6	2	-5.7	1	0.18	0.1	0	0.12	0.3	81	222360	4	Bounce Back	3.42
0.9	0.7	1	-5.7	0	0.26	0.31	0	0.1	0.7	142	304041	4	Slippery (feat. Gucci Mane)	5.4
0.5	0.7	8	-5.3	1	0.06	0.08	0	0.12	0.1	200	205947	4	Let Me Love You	3.25
0.8	0.8	10	-5.4	1	0.1	0.06	0	0.44	0.7	96	209453	4	Otra Vez (feat. J Balvin)	3.29
0.6	0.7	4	-4.1	1	0.1	0.03	0	0.4	0.6	102	213307	4	Touch	3.33
0.8	0.7	1	-6.4	1	0.28	0.26	0	0.1	0.3	139	126346	4	Look At Me!	2.6
0.7	0.6	8	-6.3	1	0.05	0	0	0.12	0.2	111	212027	3	do re mi	3.32
0.7	0.9	5	-2.6	0	0.06	0.12	0	0.32	0.9	176	204520	4	La Rompe Corazones	3.24
0.4	0.4	0	-7.4	0	0.05	0.1	0	0.1	0.1	85	258188	3	Quit (feat. Ariana Grande)	4.18
0.7	0.7	5	-4	1	0.06	0.06	0	0.14	0.5	100	223190	4	No Vacancy	3.43
0.6	0.6	4	-4.2	1	0.13	0.37	0	0.1	0.5	100	181880	4	Starving	3.1
0.7	0.6	5	-4.6	1	0.05	0.13	0	0.14	0.7	124	202194	4	Weak	3.22
0.7	0.4	1	-10.4	1	0.08	0.2	0.01	0.14	0.6	160	326933	4	Redbone	5.26
0.6	0.7	9	-7.8	1	0.08	0.01	0	0.08	0.3	129	234662	4	Green Light	3.54
0.8	0.8	1	-4.3	1	0.08	0.03	0	0.15	0.6	107	225983	4	24K Magic	3.45
0.7	0.5	7	-9.2	1	0.05	0.2	0	0.09	0.8	176	193118	4	Tu Foto	3.13
0.9	0.7	10	-3.7	0	0.22	0.24	0	0.16	0.5	139	242407	4	T-Shirt	4.2
0.6	0.9	11	-4	1	0.15	0.27	0	0.08	0.8	170	307910	4	Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]	5.7
0.9	0.5	5	-7.5	0	0.05	0.55	0	0.09	0.7	83	160597	4	Whippin (feat. Felix Snow)	2.4
