	me.danceability	me.energy	me.key	me.loudness	me.mode	me.speechiness	me.acousticness	me.instrumentalness	me.liveness	me.valence	me.tempo	me.duration_ms	me.time_signature	global.danceability	global.energy	global.key	global.loudness	global.mode	global.speechiness	global.acousticness	global.instrumentalness	global.liveness	global.valence	global.tempo	global.duration_ms	global.time_signature
1	0.7	0.55	5	-7.705	0	0.109	0.01	0.0305	0.172	0.302	80	416000	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
2	0.89	0.39	4	-10.821	0	0.267	0.33	0.00000867	0.283	0.304	128	301133	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
3	0.64	0.72	7	-6.94	1	0.0519	0.01	0.000567	0.102	0.656	170	184600	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
4	0.59	0.7	1	-9.058	1	0.0817	0.01	0	0.428	0.124	134	310720	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
5	0.71	0.76	11	-5.397	1	0.334	0.02	0.0808	0.217	0.738	79	249333	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
6	0.69	0.49	1	-8.801	1	0.143	0.29	0.055	0.101	0.418	94	284693	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
7	0.8	0.34	6	-14.029	1	0.0349	0.2	0.038	0.097	0.912	107	155707	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
8	0.5	0.9	0	-5.384	1	0.0563	0.1	0.00000231	0.613	0.723	135	283360	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
9	0.72	0.93	1	-3.203	0	0.183	0.1	0	0.305	0.545	102	295413	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
10	0.47	0.82	4	-3.973	1	0.466	0.81	0	0.598	0.941	74	179564	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
11	0.39	0.87	4	-4.768	0	0.0475	0.01	0.0055	0.273	0.303	107	312293	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
12	0.69	0.83	5	-4.078	0	0.0365	0	0	0.159	0.674	100	153810	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
13	0.96	0.52	9	-8.145	0	0.274	0.32	0	0.274	0.84	120	215792	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
14	0.49	0.86	4	-9.158	0	0.0273	0.01	0.213	0.228	0.591	113	292800	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
15	0.76	0.79	10	-6.472	0	0.229	0.01	0.0114	0.0817	0.504	94	325507	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
16	0.74	0.86	3	-5.234	1	0.0428	0.01	0	0.181	0.391	112	216013	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
17	0.81	0.36	7	-13.929	1	0.0684	0	0.849	0.0892	0.0376	120	224800	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
18	0.46	0.9	5	-7.853	0	0.14	0.01	0.792	0.0842	0.558	162	173131	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
19	0.72	0.53	7	-7.38	1	0.132	0.07	0	0.216	0.362	72	386907	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
20	0.65	0.61	1	-7.905	1	0.0353	0	0.00232	0.144	0.281	120	271959	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
21	0.75	0.56	8	-7.114	1	0.355	0.19	0	0.0987	0.455	121	241224	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
22	0.64	0.56	0	-5.584	0	0.185	0.15	0	0.0935	0.371	85	163587	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
23	0.61	0.8	9	-6.883	1	0.24	0.33	0	0.108	0.582	158	215509	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
24	0.45	0.72	10	-6.809	1	0.322	0.05	0.00000281	0.455	0.232	182	350120	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
25	0.52	0.88	1	-7.628	0	0.228	0	0.603	0.511	0.558	174	149027	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
26	0.5	0.34	11	-11.035	0	0.0332	0.78	0.0000021	0.111	0.207	98	250347	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
27	0.8	0.77	7	-5.974	1	0.238	0.07	0	0.0827	0.558	110	219333	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
28	0.5	0.7	6	-8.205	0	0.364	0.08	0	0.128	0.584	175	239320	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
29	0.84	0.52	10	-10.411	0	0.155	0.14	0.0234	0.167	0.422	95	212045	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
30	0.4	0.9	9	-4.385	1	0.0523	0.12	0.000116	0.139	0.632	106	255267	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
31	0.7	0.52	10	-8.465	0	0.332	0.3	0	0.0565	0.458	100	292987	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
32	0.61	0.79	9	-8.87	0	0.0278	0.46	0.907	0.128	0.16	100	127920	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
33	0.33	0.91	1	-4.404	0	0.418	0.07	0	0.381	0.222	171	248093	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
34	0.66	0.71	8	-6.736	1	0.0904	0	0.00447	0.0657	0.855	130	121880	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
35	0.48	0.66	2	-9.18	1	0.541	0.14	0	0.796	0.664	86	285640	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
36	0.92	0.54	7	-6.612	1	0.0854	0.43	0.0000732	0.11	0.104	100	183159	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
37	0.49	0.78	2	-5.841	1	0.301	0.35	0	0.396	0.884	140	179009	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
38	0.51	0.5	10	-8.756	0	0.242	0.02	0.002	0.108	0.193	154	243773	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
39	0.55	0.83	1	-4.103	0	0.285	0.34	0	0.537	0.452	94	194739	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
40	0.74	0.51	2	-8.145	1	0.0708	0.05	0	0.153	0.0548	84	219937	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
41	0.64	0.27	11	-14.97	0	0.107	0.01	0.146	0.0666	0.603	121	224373	3	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
42	0.8	0.48	11	-11.153	0	0.0959	0.02	0.607	0.11	0.285	119	451753	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
43	0.75	0.88	1	-5.395	1	0.0634	0.02	0.00000357	0.238	0.867	122	231933	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
44	0.47	0.58	0	-12.792	0	0.272	0.07	0	0.091	0.465	130	332560	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
45	0.76	0.49	11	-12.379	0	0.0309	0.82	0.374	0.084	0.422	123	201947	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
46	0.74	0.94	1	-7.614	1	0.501	0.36	0	0.35	0.537	96	165640	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
47	0.52	0.44	1	-10.1	0	0.289	0.03	0	0.892	0.225	111	330947	3	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
48	0.69	0.61	7	-5.902	1	0.0262	0.19	0.000931	0.071	0.766	81	206293	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
49	0.75	0.76	2	-6.501	1	0.26	0.01	0.0000144	0.215	0.546	138	214258	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
50	0.76	0.84	8	-4.672	0	0.0527	0.01	0.892	0.11	0.716	121	381654	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
51	0.53	0.86	9	-5.023	1	0.0599	0.01	0.00000213	0.751	0.495	126	215533	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
52	0.62	0.74	1	-6.995	1	0.496	0.2	0	0.166	0.782	145	277240	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
53	0.84	0.45	1	-10.828	1	0.0612	0	0.419	0.0799	0.353	119	400373	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
54	0.7	0.83	6	-5.742	0	0.282	0.18	0	0.283	0.538	81	279855	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
55	0.44	0.96	8	-8.07	1	0.0757	0.02	0.434	0.351	0.243	123	274027	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
56	0.58	0.83	6	-8.691	0	0.0298	0	0.0114	0.0581	0.604	123	331267	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
57	0.64	0.61	8	-9.665	1	0.119	0.25	0.000121	0.113	0.296	125	260160	3	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
58	0.64	0.77	11	-6.449	1	0.26	0.13	0	0.122	0.686	94	139931	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
59	0.42	0.65	4	-12.021	0	0.0699	0	0.000849	0.207	0.409	163	166693	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
60	0.6	0.68	0	-9.211	1	0.0279	0.13	0.225	0.112	0.805	114	340742	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
61	0.57	0.91	6	-4.793	0	0.132	0.06	0.00173	0.156	0.422	116	208400	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
62	0.48	0.55	11	-10.551	0	0.373	0.57	0.0239	0.127	0.576	181	252187	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
63	0.72	0.57	2	-8.904	1	0.212	0.28	0.00000198	0.385	0.905	137	205800	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
64	0.27	0.95	11	-8.76	1	0.0797	0.02	0.0131	0.321	0.426	100	408907	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
65	0.45	0.64	0	-8.484	1	0.334	0.6	0	0.287	0.655	177	153733	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
66	0.6	0.22	0	-20.608	1	0.0928	0.97	0.51	0.1	0.202	112	255227	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
67	0.85	0.67	0	-6.547	1	0.274	0.17	0.000699	0.129	0.744	97	251573	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
68	0.56	0.86	10	-4.09	0	0.326	0.01	0	0.429	0.262	176	328827	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
69	0.31	0.7	9	-5.678	1	0.047	0.01	0.00965	0.0828	0.763	188	255493	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
70	0.41	0.9	9	-11.6	1	0.405	0.05	0.131	0.405	0.422	90	333893	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
71	0.51	0.9	1	-4.509	1	0.0573	0	0.00011	0.102	0.692	117	301920	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
72	0.44	0.71	2	-12.412	1	0.0919	0.26	0.537	0.221	0.53	146	210373	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
73	0.69	0.39	0	-15.881	1	0.0428	0.08	0.000677	0.247	0.719	104	238747	4	0.82	0.65	1	-3.183	0	0.0802	0.58	0	0.0931	0.931	96	233713	4
